title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
1936 NAZI SPORTS ASSOCIATION ENGRAVED SILVER SERVE BOWL,"Oct 15, 2013",$325,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871277_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871277_1936-nazi-sports-association-engraved-silver-serve-bowl,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI INFANTRY ASSAULT BADGE FOR WEHRMACHT-ORIG,"Oct 15, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871289_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871289_nazi-infantry-assault-badge-for-wehrmacht-orig,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
LUFTWAFFE FLAK BADGE-ORIG-BY ASSMANN-ANTI-AIRCRAFT WAR,"Oct 15, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871293_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871293_luftwaffe-flak-badge-orig-by-assmann-anti-aircraft-war,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI BLACK WOUND BADGE EARLY ORIGINAL,"Oct 15, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871307_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871307_nazi-black-wound-badge-early-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI PERIOD VETERANS ASSN MEMBERS STICKPIN-MARKED-IRON,"Oct 15, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871321_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871321_nazi-period-veterans-assn-members-stickpin-marked-iron,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WAR MERIT CROSS WITH SWORDS-FRONT SWASTIKA 1939,"Oct 15, 2013",$35,,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871339_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871339_nazi-war-merit-cross-with-swords-front-swastika-1939,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI DAF/WORKERS FRONT ORIGINAL INSIGNIA,"Oct 15, 2013",$2,Collectibles,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871365_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871365_nazi-dafworkers-front-original-insignia,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
Nazi SS Proficiency Badge Award -Repro,"Oct 15, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871381_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871381_nazi-ss-proficiency-badge-award-repro,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"1942 NAZI POLICE BADGE-EAGLE/SWASTIKA MARKED ""82""","Oct 15, 2013",$55,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871429_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871429_1942-nazi-police-badge-eagleswastika-marked-82,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
2 ORIG NAZI POSTCARDS--WEHRMACHT SOLDIERS W/M16 HELMETS,"Oct 15, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871445_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871445_2-orig-nazi-postcards-wehrmacht-soldiers-wm16-helmets,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI POLICE GOTT MIT UNS ORIGINAL BELT &amp; BUCKLE VA 418,"Oct 15, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871449_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871449_nazi-police-gott-mit-uns-original-belt-and-buckle-va-418,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1939 NAZI MAY DAY MEDAL MAIDEN W/SWASTIKA -MAKER MKD,"Oct 15, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871463_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871463_1939-nazi-may-day-medal-maiden-wswastika-maker-mkd,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIG DAF NAZI CAP INSIGNIA-DEUTSCHES ARBEITS FRONT-GEAR,"Oct 15, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871505_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871505_orig-daf-nazi-cap-insignia-deutsches-arbeits-front-gear,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WAR MERIT MEDAL-ORIG WITH REPLACEMENT LOOP,"Oct 15, 2013",$25,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871567_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871567_nazi-war-merit-medal-orig-with-replacement-loop,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI RUSSIAN FRONT AWARD MEDAL-ORIG-EAGLE/SWASTIKA,"Oct 15, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871577_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871577_nazi-russian-front-award-medal-orig-eagleswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"NAZI HITLER YOUTH EARLY ORIG BUCKLE-MARKED ""RZM M4/118""","Oct 15, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871685_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871685_nazi-hitler-youth-early-orig-buckle-marked-rzm-m4118,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI DRK/RED CROSS ENGRAVED SILVER BOWL -EAGLE/SWASTIKA,"Oct 15, 2013",$290,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871699_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871699_nazi-drkred-cross-engraved-silver-bowl-eagleswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI PANZER TANK BADGE-AS MAKER LOGO-NICE ORIGINAL,"Oct 15, 2013",$170,Collectibles,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871713_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871713_nazi-panzer-tank-badge-as-maker-logo-nice-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"NAZI FIELD FORK, CAN OPENER W/EAGLE SWASTIKA W/MAKER MK","Oct 15, 2013",,Home &amp; Décor > Tableware &amp; Barware,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871747_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871747_nazi-field-fork-can-opener-weagle-swastika-wmaker-mk,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI RUSSIAN FRONT MEDAL EAGLE/HELMET/POTATO MASHER,"Oct 15, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871765_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871765_nazi-russian-front-medal-eaglehelmetpotato-masher,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"WEHRMACHT EAGLE FOR VISOR HAT-2 1/2""-HAS ALL 3 PRONGS-O","Oct 15, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871807_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871807_wehrmacht-eagle-for-visor-hat-2-12-has-all-3-prongs-o,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIG NAZI PORCELAIN FIGURE OF CHILD SELLING COOKIES-BOT,"Oct 15, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871809_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871809_orig-nazi-porcelain-figure-of-child-selling-cookies-bot,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI PORCELAIN MAN &amp; WOMAN SLEDDING FIGURINE W/SWASTIKA,"Oct 15, 2013",,Home &amp; Décor > Decorative Objects > Figurines &amp; Miniatures > Figurines &amp; Statuettes,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871817_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871817_nazi-porcelain-man-and-woman-sledding-figurine-wswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI 1933 TAG DER ARBEIT MEDAL-SHOWS EAGLE/SWASTIKA,"Oct 15, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871829_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871829_nazi-1933-tag-der-arbeit-medal-shows-eagleswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
